feature,mean_abs_shap
amount_to_avg_ratio,0.7742066732467173
is_online,0.17121232919178292
distance_from_home_km,0.15909744098150347
late_night,0.13447579235827062
account_age_days,0.1315818059229971
txns_last_hour,0.1287231608511186
merch_cash_advance,0.10637723056144577
merch_grocery,0.07365600726980166
amount,0.05468144210334462
merch_gambling,0.025016031465755716
merch_travel,0.020294809687567382
merch_gas,0.017232001295235586
hour,0.009439665004824946
merch_electronics,0.0077853723711866435
prior_disputes,0.003606015945987948
merch_online_retail,0.002880955949805122
merch_dining,0.00043938744367064884
